distance_m,elevation_m,slope_m_per_m,curvature_m_per_m2
480.709,-11.105,-0.029131,0.001129190
491.159,-11.158,0.009300,0.000911148
501.609,-11.112,0.026397,0.000567483
512.060,-11.145,0.027141,0.000447886
522.510,-11.298,0.029629,0.000640292
532.960,-11.290,0.018680,0.000750688
543.410,-11.159,0.000793,0.000944144
553.860,-10.725,-0.026320,0.001016732
564.311,-10.490,-0.016124,0.001757534
574.761,-10.205,0.038824,0.002644354
585.211,-9.517,0.110768,0.003086947
595.661,-8.074,0.173088,0.002565517
606.111,-6.188,0.217087,0.001581439
616.562,-4.126,0.238782,0.000478797
627.012,-1.880,0.226844,-0.000851713
637.462,0.247,0.188271,-0.002021460
647.912,1.936,0.141867,-0.002671279
658.362,2.979,0.080603,-0.002528403
668.812,3.653,0.027030,-0.002011453
679.263,4.133,0.002087,-0.001411294
689.713,4.518,0.005063,-0.000940583
700.163,4.848,0.023082,-0.000693501
710.613,5.122,0.041740,-0.000656894
721.063,5.343,0.047017,-0.000782380
731.514,5.409,0.036599,-0.000825904
741.964,5.491,0.014847,-0.001002627
752.414,5.442,-0.011841,-0.001046957
762.864,5.286,-0.037627,-0.000997035
773.314,5.037,-0.060013,-0.000881375
783.765,4.628,-0.072944,-0.000596736
794.215,4.036,-0.070775,-0.000113599
804.665,3.219,-0.047362,0.000638700
815.115,2.558,-0.027884,0.001139709
825.565,2.107,-0.021283,0.001485996
836.016,2.034,-0.010014,0.001504918
846.466,2.209,0.005068,0.001397554
856.916,2.529,0.023779,0.001287682
867.366,2.937,0.046190,0.001218822
877.816,3.433,0.069054,0.001160175
888.267,4.071,0.081018,0.001037719
898.717,4.789,0.087810,0.000983312
909.167,5.716,0.093180,0.000782664
919.617,6.845,0.099101,0.000397620
930.067,8.096,0.104481,-0.000132691
940.518,9.179,0.097503,-0.000402588
950.968,10.030,0.085402,-0.000310850
961.418,10.832,0.084044,-0.000167292
971.868,11.700,0.092352,-0.000207996
982.318,12.665,0.086253,-0.000477379
992.769,13.690,0.082855,-0.000940962
1003.219,14.538,0.070680,-0.001291083
1013.669,15.224,0.055880,-0.001604912
1024.119,15.557,0.032934,-0.001596814
1034.569,15.567,0.010046,-0.001290814
1045.020,15.493,-0.006522,-0.001039139
1055.470,15.407,-0.024783,-0.000915807
1065.920,15.168,-0.048429,-0.000623414
1076.370,14.764,-0.064224,-0.000072759
1086.820,14.272,-0.049732,0.000614998
1097.270,13.796,-0.025050,0.001301282
1107.721,13.561,-0.002955,0.001747819
1118.171,13.655,0.022731,0.001917520
1128.621,14.040,0.054421,0.001887251
1139.071,14.806,0.075739,0.001507304
1149.521,15.666,0.093881,0.001221708
1159.972,16.763,0.107780,0.000735685
1170.422,17.885,0.121798,0.000300170
1180.872,19.093,0.126003,-0.000267191
1191.322,20.324,0.112560,-0.000912439
1201.772,21.406,0.092488,-0.001421646
1212.223,22.202,0.071366,-0.001666078
1222.673,22.757,0.043469,-0.001760302
1233.123,23.116,0.010136,-0.001761749
1243.573,23.138,-0.011525,-0.001453120
1254.023,22.977,-0.024215,-0.001086472
1264.474,22.838,-0.028966,-0.000981128
1274.924,22.554,-0.034942,-0.000845332
1285.374,22.014,-0.044272,-0.000434526
1295.824,20.615,-0.088324,0.001529191
1306.274,19.857,-0.082211,0.002918307
1316.725,19.679,-0.038322,0.003893359
1327.175,20.272,0.038294,0.004136747
1337.625,21.455,0.123638,0.003880605
1348.075,23.156,0.199733,0.003181610
1358.525,25.249,0.258589,0.002171783
1368.976,27.569,0.290335,0.001020744
1379.426,29.979,0.285990,-0.000112886
1389.876,32.446,0.250862,-0.001238028
1400.326,34.856,0.191695,-0.002260557
1410.776,37.051,0.119463,-0.003048635
1421.227,38.572,0.057894,-0.003004761
1431.677,39.385,0.036353,-0.002233589
1442.127,39.421,0.068461,-0.000742309
1452.577,39.958,0.063528,-0.000401804
1463.027,40.484,0.062361,-0.000127788
1473.478,41.134,0.054755,-0.000070240
1483.928,41.772,0.053586,0.000020817
1494.378,42.454,0.056437,0.000035604
1504.828,43.052,0.054683,0.000200278
1515.278,43.721,0.064015,0.000267896
1525.729,44.417,0.077992,0.000279098
1536.179,45.197,0.085355,0.000144413
1546.629,46.050,0.086429,-0.000109658
1557.079,46.879,0.079252,-0.000327984
1567.529,47.606,0.070468,-0.000400602
1577.979,48.355,0.058575,-0.000544841
1588.430,48.981,0.050313,-0.000547879
1598.880,49.530,0.050106,-0.000532746
1609.330,50.071,0.047094,-0.000632101
1619.780,50.427,0.036887,-0.000531044
1630.230,50.750,0.027738,-0.000444269
1640.681,51.010,0.021583,-0.000311445
1651.131,51.135,0.020743,-0.000002070
1661.581,51.429,0.018516,0.000024704
1672.031,51.697,0.019068,0.000109209
1682.481,51.978,0.023884,0.000181399
1692.932,52.319,0.031282,0.000154603
1703.382,52.654,0.040502,0.000120379
1713.832,52.971,0.044230,0.000105405
1724.282,53.312,0.041287,0.000071798
1734.732,53.704,0.037610,-0.000007177
1745.183,54.129,0.029627,-0.000103904
1755.633,54.445,0.021744,0.000014115
1766.083,54.763,0.028061,0.000138257
1776.533,55.183,0.034343,0.000078861
1786.983,55.570,0.039978,0.000055958
1797.434,55.913,0.044596,0.000088112
1807.884,56.330,0.044728,-0.000001464
1818.334,56.712,0.043230,-0.000026374
1828.784,57.100,0.037257,-0.000043029
1839.234,57.533,0.031686,-0.000107855
1849.685,57.864,0.024811,0.000019435
1860.135,58.178,0.026763,0.000196727
1870.585,58.574,0.035407,0.000246603
1881.035,59.029,0.043147,0.000202878
1891.485,59.456,0.050372,0.000209625
1901.936,59.913,0.057811,0.000167846
1912.386,60.405,0.050847,0.000107942
1922.836,60.945,0.047234,0.000029526
1933.286,61.477,0.046748,-0.000013592
1943.736,62.043,0.048819,-0.000124060
1954.187,62.657,0.050868,-0.000364598
1964.637,63.053,0.042975,-0.000302008
1975.087,63.272,0.030192,0.000057994
1985.537,63.537,0.024542,0.000416833
1995.987,63.863,0.033092,0.000770188
2006.437,64.415,0.045734,0.000860715
2016.888,65.161,0.061447,0.000741267
2027.338,65.991,0.079143,0.000556128
2037.788,66.844,0.093689,0.000364469
2048.238,67.724,0.101834,0.000142078
2058.688,68.548,0.105578,0.000013539
2069.139,69.464,0.095590,-0.000249292
2079.589,70.436,0.082400,-0.000592954
2090.039,71.301,0.058825,-0.000781035
2100.489,71.990,0.036434,-0.000708807
2110.939,72.432,0.034755,-0.000311584
2121.390,72.802,0.043593,0.000102428
2131.840,73.287,0.053391,0.000281306
2142.290,73.895,0.064401,0.000249382
2152.740,74.518,0.067761,0.000207910
2163.190,75.197,0.067099,0.000112596
2173.641,75.893,0.065447,0.000026706
2184.091,76.626,0.067281,-0.000117138
2194.541,77.360,0.068308,-0.000304600
2204.991,78.009,0.064617,-0.000413305
2215.441,78.628,0.057634,-0.000542971
2225.892,79.192,0.044911,-0.000650285
2236.342,79.628,0.040044,-0.000645403
2246.792,79.959,0.032492,-0.000583342
2257.242,80.196,0.020233,-0.000444219
2267.692,80.295,0.008001,-0.000097190
2278.143,80.375,0.000624,0.000324173
2288.593,80.572,0.006040,0.000635778
2299.043,80.822,0.025345,0.000935573
2309.493,81.287,0.050260,0.000954400
2319.943,81.815,0.067366,0.000970544
2330.394,82.572,0.082176,0.000732180
2340.844,83.485,0.095800,0.000318004
2351.294,84.417,0.102231,-0.000115936
2361.744,85.253,0.090226,-0.000394994
2372.194,86.018,0.071495,-0.000548915
2382.645,86.782,0.051419,-0.000708498
2393.095,87.511,0.044101,-0.000899165
2403.545,88.004,0.036995,-0.000866075
2413.995,88.305,0.032893,-0.000688733
2424.445,88.430,0.023158,-0.000339290
2434.895,88.591,0.014520,-0.000077029
2445.346,88.806,0.014486,0.000101857
2455.796,89.002,0.014958,0.000337123
2466.246,89.181,0.025341,0.000653892
2476.696,89.544,0.031592,0.000765256
2487.146,90.099,0.042925,0.000685185
2497.597,90.679,0.058855,0.000645701
2508.047,91.239,0.078637,0.000685282
2518.497,92.149,0.100674,0.000154455
2528.947,93.068,0.097943,-0.000416912
2539.397,93.827,0.069290,-0.000713707
2549.848,94.318,0.043422,-0.000546129
2560.298,94.774,0.028353,-0.000317630
2570.748,95.158,0.027172,0.000008520
2581.198,95.723,0.034289,0.000004580
2591.648,96.257,0.039566,0.000010778
2602.099,96.642,0.047753,0.000231898
2612.549,97.188,0.063574,0.000151204
2622.999,97.610,0.066384,0.000260369
2633.449,98.174,0.064813,0.000187328
2643.899,98.794,0.063070,0.000079658
2654.350,99.431,0.053604,0.000000468
2664.800,100.175,0.035533,-0.000167172
2675.250,100.691,0.037260,0.000071022
2685.700,101.084,0.050543,0.000488663
2696.150,101.601,0.066263,0.000719288
2706.601,102.348,0.080197,0.000638044
2717.051,103.184,0.088077,0.000493964
2727.501,104.151,0.088405,0.000222953
2737.951,105.017,0.088926,0.000182900
2748.401,105.945,0.091151,0.000074514
2758.852,107.016,0.087993,-0.000258656
2769.302,107.832,0.089350,-0.000213147
2779.752,108.727,0.082698,-0.000340696
2790.202,109.555,0.074134,-0.000390592
2800.652,110.343,0.072059,-0.000434338
2811.103,110.958,0.060681,-0.000246886
2821.553,111.548,0.052909,-0.000014738
2832.003,112.197,0.057602,0.000122488
2842.453,112.905,0.063231,0.000154770
2852.903,113.622,0.065861,0.000181175
2863.353,114.332,0.072808,0.000235416
2873.804,115.091,0.079423,0.000220756
2884.254,115.944,0.090045,0.000040308
2894.704,116.811,0.087083,-0.000179718
2905.154,117.637,0.077406,-0.000332579
2915.604,118.336,0.069134,-0.000291814
2926.055,119.100,0.062917,-0.000388472
2936.505,119.805,0.056565,-0.000440919
2946.955,120.548,0.054847,-0.000644748
2957.405,121.050,0.058282,-0.000609387
2967.855,121.508,0.050962,-0.000641529
2978.306,121.892,0.034489,-0.000631872
2988.756,122.137,0.021581,-0.000443650
2999.206,122.196,0.008924,0.000036521
3009.656,122.271,0.001936,0.000566468
3020.106,122.372,0.001540,0.001225322
3030.557,122.683,0.014214,0.001799602
3041.007,123.240,0.053546,0.002237571
3051.457,124.042,0.097523,0.002547426
3061.907,125.175,0.142269,0.002644250
3072.357,126.792,0.182434,0.002302381
3082.808,128.694,0.211233,0.001829918
3093.258,130.969,0.225836,0.001040168
3103.708,133.382,0.234208,0.000204919
3114.158,135.830,0.231458,-0.000658414
3124.608,138.160,0.214698,-0.001420934
3135.059,140.294,0.188218,-0.002066906
3145.509,141.969,0.154921,-0.002252164
3155.959,143.298,0.117060,-0.002181276
3166.409,144.260,0.083184,-0.001798738
3176.859,145.035,0.052528,-0.001337088
3187.310,145.721,0.031969,-0.000895240
3197.760,146.204,0.031957,-0.000265888
3208.210,146.586,0.038733,0.000446946
3218.660,147.022,0.051605,0.001114297
3229.110,147.599,0.077789,0.001693183
3239.561,148.580,0.109124,0.001818862
3250.011,149.894,0.137730,0.001634732
3260.461,151.371,0.155306,0.001437341
3270.911,153.058,0.169596,0.001140996
3281.361,154.921,0.178810,0.000758756
3291.811,156.795,0.187691,0.000491251
3302.262,158.658,0.188169,0.000338823
3312.712,160.527,0.185393,0.000272913
3323.162,162.503,0.183614,0.000108689
3333.612,164.493,0.176574,-0.000019644
3344.062,166.444,0.173864,-0.000053223
3354.513,168.248,0.177577,0.000149221
3364.963,170.111,0.186737,0.000245582
3375.413,172.094,0.194319,0.000139685
3385.863,174.196,0.196863,-0.000169481
3396.313,176.143,0.190641,-0.000243139
3406.764,178.002,0.187119,-0.000193709
3417.214,179.850,0.175724,-0.000126250
3427.664,181.724,0.168187,-0.000068396
3438.114,183.538,0.164657,0.000112072
3448.564,185.300,0.169084,0.000408350
3459.015,187.191,0.179850,0.000536839
3469.465,189.198,0.189718,0.000532724
3479.915,191.230,0.203227,0.000543085
3490.365,193.446,0.219239,0.000275527
3500.815,195.705,0.230914,-0.000089190
3511.266,198.018,0.227782,-0.000600575
3521.716,200.224,0.209875,-0.001010326
3532.166,202.329,0.187602,-0.001370947
3542.616,204.152,0.167397,-0.001454845
3553.066,205.750,0.140630,-0.001367774
3563.517,207.163,0.122039,-0.001161206
3573.967,208.460,0.105963,-0.000937407
3584.417,209.570,0.098204,-0.000552761
3594.867,210.719,0.103612,-0.000372543
3605.317,211.868,0.109122,-0.000325726
3615.768,212.962,0.115133,-0.000309584
3626.218,214.034,0.115266,-0.000356927
3636.668,215.077,0.102375,-0.000402268
3647.118,216.194,0.098169,-0.000623567
3657.568,217.255,0.092945,-0.000875983
3668.019,218.155,0.082853,-0.001027278
3678.469,219.025,0.069100,-0.001311491
3688.919,219.592,0.049789,-0.001300168
3699.369,219.875,0.030740,-0.001005190
3709.819,220.102,0.014852,-0.000756192
3720.270,220.195,0.004630,-0.000381617
3730.720,220.095,-0.007704,0.000304974
3741.170,220.207,-0.008616,0.000750290
3751.620,220.569,0.016312,0.000877499
3762.070,221.130,0.051264,0.000681984
3772.520,221.907,0.090550,0.000034258
3782.971,222.678,0.111008,-0.000798955
3793.421,223.674,0.105611,-0.002282427
3803.871,224.105,0.058902,-0.003206358
3814.321,224.073,-0.007863,-0.003773704
3824.771,223.534,-0.089619,-0.003935007
3835.222,222.407,-0.158487,-0.003588771
3845.672,220.848,-0.209342,-0.003017602
3856.122,218.798,-0.247847,-0.002077852
3866.572,216.389,-0.253612,-0.000905134
3877.022,213.982,-0.216827,-0.000080342
3887.473,211.647,-0.190615,0.000380041
3897.923,209.621,-0.169517,0.000244187
3908.373,207.723,-0.158423,-0.000160626
3918.823,205.896,-0.168711,-0.000734244
3929.273,203.884,-0.192981,-0.001057685
3939.724,201.900,-0.224920,-0.001512250
3950.174,199.255,-0.251975,-0.001017675
3960.624,196.350,-0.284040,-0.000133275
3971.074,193.347,-0.296980,0.001040843
3981.524,190.532,-0.287224,0.002172927
3991.975,187.999,-0.251098,0.003225452
4002.425,185.893,-0.182143,0.004020315
4012.875,184.502,-0.105485,0.004124950
4023.325,183.815,-0.038620,0.003593023
4033.775,183.466,0.026849,0.002957960
4044.226,183.550,0.055818,0.002018434
4054.676,183.938,0.064910,0.000950855
4065.126,184.401,0.052042,0.000014551
4075.576,184.817,0.022721,-0.000691856
4086.026,185.149,-0.017239,-0.001192971
4096.477,185.013,-0.039671,-0.000982498
4106.927,184.524,-0.052460,-0.000296824
4117.377,183.973,-0.053766,0.000468050
4127.827,183.416,-0.044701,0.001337658
4138.277,182.934,-0.027425,0.002335072
4148.728,182.905,0.004248,0.002991426
4159.178,183.284,0.044224,0.003476605
4169.628,184.206,0.097116,0.003608100
4180.078,185.613,0.154431,0.003461862
4190.528,187.437,0.212795,0.003100203
4200.978,189.704,0.251022,0.002447684
4211.429,192.245,0.275612,0.001742235
4221.879,194.960,0.280480,0.001091005
4232.329,197.854,0.273913,0.000419309
4242.779,200.742,0.260500,-0.000062197
4253.229,203.533,0.250021,-0.000311862
4263.680,206.271,0.240554,-0.000479787
4274.130,208.739,0.233185,-0.000249832
4284.580,211.225,0.242485,-0.000122773
4295.030,213.765,0.246136,-0.000166112
4305.480,216.257,0.249799,-0.000195182
4315.931,218.715,0.239363,-0.000192166
4326.381,221.244,0.234469,-0.000309951
4336.831,223.756,0.229059,-0.000441225
4347.281,226.207,0.228082,-0.000562424
4357.731,228.608,0.225944,-0.000732841
4368.182,230.836,0.219886,-0.000766756
4378.632,232.968,0.205061,-0.000763426
4389.082,235.018,0.192937,-0.000725315
4399.532,237.015,0.181765,-0.000702758
4409.982,238.897,0.172225,-0.000594185
4420.433,240.672,0.169864,-0.000413466
4430.883,242.577,0.163515,-0.000535392
4441.333,244.318,0.161709,-0.000486807
4451.783,245.975,0.162418,-0.000414891
4462.233,247.590,0.169233,-0.000405763
4472.684,249.264,0.162037,-0.000602567
4483.134,250.741,0.145600,-0.000534296
4493.584,252.155,0.126689,-0.000374161
4504.034,253.546,0.116490,-0.000171980
4514.484,254.885,0.118493,0.000102857
4524.935,256.282,0.130085,0.000258330
4535.385,257.761,0.140935,0.000261692
4545.835,259.279,0.152107,0.000191097
4556.285,260.890,0.165594,-0.000076530
4566.735,262.546,0.169902,-0.000504331
4577.186,264.158,0.160015,-0.000967818
4587.636,265.590,0.140144,-0.001268979
4598.086,266.795,0.107703,-0.001329015
4608.536,267.865,0.075287,-0.001278654
4618.986,268.629,0.051280,-0.000838501
4629.436,269.206,0.045771,-0.000191886
4639.887,269.814,0.052068,0.000349105
4650.337,270.515,0.065383,0.000751292
4660.787,271.345,0.086351,0.001010339
4671.237,272.383,0.111166,0.001013908
4681.687,273.593,0.136371,0.000811776
4692.138,274.896,0.147675,0.000535232
4702.588,276.320,0.143897,0.000164087
4713.038,277.721,0.132881,-0.000074507
4723.488,279.025,0.117815,-0.000074457
4733.938,280.314,0.109968,0.000010565
4744.389,281.597,0.112751,0.000126461
4754.839,282.918,0.116402,0.000188943
4765.289,284.278,0.130754,0.000169071
4775.739,285.661,0.140550,0.000071215
4786.189,287.023,0.144558,-0.000020577
4796.640,288.389,0.144900,-0.000138875
4807.090,289.788,0.138749,-0.000329264
4817.540,291.125,0.121932,-0.000420760
4827.990,292.457,0.108159,-0.000505988
4838.440,293.676,0.102717,-0.000462739
4848.891,294.731,0.095202,-0.000213088
4859.341,295.804,0.099562,-0.000036504
4869.791,296.829,0.107839,0.000166417
4880.241,297.930,0.112615,0.000238512
4890.691,299.104,0.116685,0.000215882
4901.142,300.291,0.118889,0.000204905
4911.592,301.504,0.112905,0.000216750
4922.042,302.710,0.113912,0.000313932
4932.492,304.034,0.122815,0.000253858
4942.942,305.441,0.131177,0.000057973
4953.393,306.837,0.136051,-0.000149262
4963.843,308.133,0.136581,-0.000241918
4974.293,309.468,0.128253,-0.000438546
4984.743,310.744,0.119275,-0.000587911
4995.193,311.816,0.108905,-0.000469964
5005.644,312.868,0.090421,-0.000341656
5016.094,313.911,0.085336,-0.000204542
5026.544,314.929,0.085003,-0.000059073
5036.994,315.932,0.088224,0.000086105
5047.444,316.860,0.095679,0.000346795
5057.894,317.805,0.108799,0.000596993
5068.345,318.948,0.120544,0.000576467
5078.795,320.275,0.126907,0.000324115
5089.245,321.601,0.127616,0.000134303
5099.695,322.891,0.125132,0.000048882
5110.145,324.281,0.129275,-0.000204331
5120.596,325.625,0.124866,-0.000428985
5131.046,326.845,0.114367,-0.000498719
5141.496,327.879,0.106404,-0.000316393
5151.946,328.897,0.100599,-0.000139704
5162.396,329.953,0.089489,-0.000006799
5172.847,330.915,0.084078,0.000344457
5183.297,332.173,0.103068,0.000226670
5193.747,333.174,0.109079,0.000525824
5204.197,334.187,0.113132,0.000905357
5214.647,335.361,0.120779,0.001204518
5225.098,336.685,0.133252,0.001487058
5235.548,338.273,0.158665,0.001572398
5245.998,340.163,0.185469,0.001365702
5256.448,342.310,0.199882,0.000928598
5266.898,344.508,0.216624,0.000538403
5277.349,346.692,0.225421,0.000223803
5287.799,348.851,0.225073,-0.000018364
5298.249,351.021,0.217055,-0.000256069
5308.699,353.042,0.200079,-0.000215859
5319.149,355.123,0.183477,-0.000220435
5329.600,357.324,0.159711,-0.000348626
5340.050,359.157,0.169706,0.000114450
5350.500,361.077,0.186637,0.000363890
5360.950,363.149,0.208590,0.000311808
5371.400,365.227,0.222948,0.000204065
5381.851,367.386,0.221807,-0.000034674
5392.301,369.603,0.216241,-0.000359582
5402.751,371.710,0.202208,-0.000521005
5413.201,373.788,0.183589,-0.000654667
5423.651,375.721,0.169318,-0.000595868
5434.102,377.462,0.155445,-0.000263535
5444.552,379.136,0.150945,0.000179317
5455.002,380.851,0.166642,0.000558870
5465.452,382.641,0.178446,0.000860213
5475.902,384.713,0.203667,0.000771944
5486.352,386.886,0.219810,0.000566540
5496.803,389.239,0.232282,0.000099843
5507.253,391.594,0.229602,-0.000378729
5517.703,393.834,0.223509,-0.000726645
5528.153,395.841,0.201369,-0.000765483
5538.603,397.809,0.175530,-0.000769090
5549.054,399.616,0.157033,-0.000543809
5559.504,401.393,0.145363,-0.000303097
5569.954,403.143,0.147357,-0.000060451
5580.404,404.839,0.163403,0.000195943
5590.854,406.564,0.177622,0.000347994
5601.305,408.355,0.186435,0.000399397
5611.755,410.241,0.203052,0.000300677
5622.205,412.176,0.193175,0.000173765
5632.655,414.129,0.190218,0.000105178
5643.105,416.119,0.176680,0.000057252
5653.556,418.085,0.172549,0.000127429
5664.006,420.106,0.176455,0.000135737
5674.456,422.066,0.193560,0.000214146
5684.906,424.112,0.204626,0.000099889
5695.356,426.209,0.213685,-0.000144943
5705.807,428.319,0.212867,-0.000479251
5716.257,430.402,0.200525,-0.000845337
5726.707,432.291,0.177512,-0.000974277
5737.157,433.988,0.155408,-0.000871174
5747.607,435.668,0.140817,-0.000837911
5758.058,437.202,0.122471,-0.000658831
5768.508,438.495,0.123098,-0.000172987
5778.958,440.511,0.158626,-0.001104996
5789.408,441.966,0.162242,-0.001493153
5799.858,443.133,0.139167,-0.001705874
5810.309,444.140,0.106753,-0.001896182
5820.759,444.976,0.071455,-0.002049605
5831.209,445.609,0.037771,-0.002150982
5841.659,446.023,0.002611,-0.002195605
5852.109,446.260,-0.019686,-0.002309605
5862.560,446.084,-0.041525,-0.002159142
5873.010,445.489,-0.056300,-0.001721884
5883.460,444.638,-0.068468,-0.001199447
5893.910,443.316,-0.097184,-0.000034687
5904.360,442.605,-0.069406,0.000067683
5914.811,441.961,-0.068025,-0.000026246
5925.261,441.491,-0.106845,-0.000299112
5935.711,440.236,-0.102757,0.000825226
5946.161,439.162,-0.081006,0.001762669
5956.611,438.532,-0.046534,0.002200068
5967.061,438.265,-0.008614,0.002333729
5977.512,438.331,0.024868,0.002253980
5987.962,438.818,0.056983,0.001807567
5998.412,439.697,0.077056,0.000975755
6008.862,440.528,0.091259,0.000364176
6019.312,441.358,0.096671,-0.000220634
6029.763,442.017,0.090629,-0.000564416
6040.213,442.455,0.078127,-0.000608934
6050.663,443.416,0.018795,-0.001467316
6061.113,443.704,-0.005864,-0.001256235
6071.563,443.841,-0.007627,-0.001021211
6082.014,443.869,-0.000419,-0.000883657
6092.464,443.746,-0.004711,-0.000724901
6102.914,443.522,-0.014396,-0.000531452
6113.364,443.200,-0.018453,-0.000261123
6123.814,442.845,-0.021412,0.000020686
6134.265,442.440,-0.038379,0.000465490
6144.715,442.183,-0.043773,0.000852631
6155.165,442.100,-0.028754,0.001128072
6165.615,442.132,-0.006906,0.001372290
6176.065,442.288,0.028456,0.001563933
6186.516,442.594,0.064139,0.001657074
6196.966,443.159,0.089573,0.001524085
6207.416,443.737,0.090484,0.001675025
6217.866,444.627,0.085494,0.001738016
6228.316,445.854,0.096878,0.001651245
6238.767,447.264,0.123562,0.001546680
6249.217,448.900,0.150238,0.001271747
6259.667,450.650,0.170738,0.000966883
6270.117,452.379,0.188153,0.000821312
6280.567,454.009,0.203075,0.000947475
6291.018,455.964,0.205338,0.000700623
6301.468,458.012,0.193880,0.000507819
6311.918,460.025,0.181771,0.000590989
6322.368,462.205,0.176436,0.000597806
6332.818,464.451,0.186560,0.000631149
6343.269,466.684,0.208696,0.000740988
6353.719,468.757,0.242195,0.001127522
6364.169,471.148,0.264969,0.001063416
6374.619,473.851,0.271431,0.000637270
6385.069,476.643,0.268094,0.000212679
6395.519,479.463,0.260127,-0.000165297
6405.970,482.265,0.253352,-0.000504850
6416.420,484.870,0.241846,-0.000572268
6426.870,487.299,0.231772,-0.000409453
6437.320,489.694,0.221718,-0.000227083
6447.770,491.975,0.222811,0.000125463
6458.221,494.288,0.229177,0.000428535
6468.671,496.850,0.237287,0.000364939
6479.121,499.642,0.251134,-0.000077233
6489.571,502.401,0.262022,-0.000569106
6500.021,504.999,0.265384,-0.000978945
6510.472,507.569,0.257264,-0.001581038
6520.922,509.977,0.235177,-0.002210801
6531.372,512.067,0.196777,-0.002659127
6541.822,513.839,0.146964,-0.002945788
6552.272,515.211,0.092956,-0.002952501
6562.723,515.831,0.037874,-0.002052728
6573.173,516.312,0.013356,-0.001173449
6583.623,516.683,0.012390,-0.000323792
6594.073,517.022,0.029756,0.000441516
6604.523,517.446,0.057677,0.001018647
6614.974,518.104,0.083261,0.001272279
6625.424,518.979,0.100581,0.001335117
6635.874,519.917,0.115734,0.001524194
6646.324,521.087,0.132262,0.001601321
6656.774,522.524,0.141095,0.001547729
6667.225,524.117,0.147974,0.001573713
6677.675,525.827,0.158727,0.001746895
6688.125,527.802,0.179548,0.001809438
6698.575,529.970,0.212610,0.001825347
6709.025,532.252,0.257950,0.001847756
6719.476,534.993,0.278766,0.001331385
6729.926,537.801,0.286966,0.000946225
6740.376,540.388,0.270882,0.001216715
6750.826,543.479,0.280833,0.000955864
6761.276,546.796,0.296984,0.000463236
6771.727,550.234,0.315447,-0.000235813
6782.177,553.540,0.321130,-0.000852207
6792.627,556.902,0.319653,-0.001803275
6803.077,560.068,0.307916,-0.002840583
6813.527,563.029,0.286011,-0.004147122
6823.977,565.136,0.217227,-0.004749409
6834.428,566.645,0.124594,-0.004998533
6844.878,567.558,0.030980,-0.004877419
6855.328,567.656,-0.058768,-0.003988634
6865.778,567.209,-0.111269,-0.002706996
6876.228,566.239,-0.123611,-0.001003556
6886.679,565.225,-0.082130,0.000413066
6897.129,564.655,-0.057319,0.000941321
6907.579,564.183,-0.019922,0.001329622
6918.029,564.052,0.022483,0.001201878
6928.479,564.125,0.057828,0.000765830
6938.930,564.922,0.080385,-0.000920171
6949.380,565.200,0.036929,-0.001879292
6959.830,565.135,-0.031910,-0.002346225
6970.280,564.356,-0.080023,-0.001789308
6980.730,563.479,-0.119414,-0.001227334
6991.181,562.429,-0.142711,-0.000468284
7001.631,561.167,-0.136222,0.000590387
7012.081,559.979,-0.121135,0.001602010
7022.531,558.983,-0.081771,0.002511239
7032.981,558.501,-0.033920,0.002887777
7043.432,558.328,0.031916,0.003089557
